block_id,verdict,footprint_class,ops_touched
transformers__WhisperForAudioClassification__5c48a77a,Refuted,tested-only,argmax|creation_ops|linear|reduce|stack|view
transformers__WhisperForCausalLM__49d54f15,Refuted,audited,linear|view
transformers__WhisperForConditionalGeneration__ed440ec8,Refuted,audited,linear|reshape|view
transformers__WhisperModel__2cb724a8,Refuted,audited,expand
transformers__WhisperPositionalEmbedding__f3c92931,Verified,audited,embed
transformers__WhisperPreTrainedModel__aac856a9,Refuted,audited,conv1d|embed|layer_norm|linear
transformers__BartAttention__872534b2,Abstain,audited,contiguous|linear|reshape|transpose|view
transformers__BartClassificationHead__91ada2db,Verified,audited,dropout|linear|tanh
transformers__BartDecoder__37b31304,Refuted,tested-only,creation_ops|embed|layer_norm|view
transformers__BartDecoderLayer__964c0068,Refuted,audited,layer_norm|linear
transformers__BartDecoderWrapper__145bd043,Refuted,audited,
transformers__BartEncoder__9ecbfcaa,Refuted,tested-only,creation_ops|embed|layer_norm|view
transformers__BartEncoderLayer__22379aa0,Refuted,audited,clamp|layer_norm|linear
transformers__BartForCausalLM__badc2db2,Refuted,audited,linear|view
transformers__BartForConditionalGeneration__31f5e997,Refuted,tested-only,cat|creation_ops|embed|linear|split|topk|view
transformers__BartForQuestionAnswering__11e5505f,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__BartForSequenceClassification__7b1a4896,Refuted,audited,reduce|squeeze|view
transformers__BartLearnedPositionalEmbedding__543fc3df,Refuted,tested-only,creation_ops|embed|expand|unsqueeze
transformers__BartModel__27886110,Refuted,audited,
transformers__BartPreTrainedModel__e2854e5b,Refuted,tested-only,creation_ops|embed|expand|layer_norm|linear|reshape|scaled_dot_product_attention
transformers__BartPretrainedModel__04fdcfe2,Refuted,audited,
transformers__BartScaledWordEmbedding__2ebe704c,Verified,audited,embed
transformers__PretrainedBartModel__90ec4e88,Refuted,audited,
transformers__DistilBertFlashAttention2__9971185e,Refuted,audited,reshape|rms_norm|view
transformers__DistilBertForMaskedLM__074cc05b,Refuted,audited,embed|layer_norm|linear|view
transformers__DistilBertForMultipleChoice__894eda84,Refuted,audited,dropout|embed|linear|relu|unsqueeze|view
transformers__DistilBertForQuestionAnswering__e9a36da2,Refuted,audited,clamp|contiguous|dropout|embed|linear|split|squeeze
transformers__DistilBertForSequenceClassification__2980befd,Refuted,audited,dropout|embed|linear|relu|squeeze|view
transformers__DistilBertForTokenClassification__bd1d20db,Refuted,audited,dropout|embed|linear|view
transformers__DistilBertModel__e1631f00,Refuted,tested-only,creation_ops|embed
transformers__DistilBertPreTrainedModel__1f6d3674,Refuted,audited,embed|layer_norm|linear
transformers__DistilBertSdpaAttention__96b383dd,Refuted,audited,contiguous|transpose|view
transformers__Embeddings__a64ca064,Verified,tested-only,creation_ops|dropout|embed|expand|layer_norm|unsqueeze
transformers__FFN__883768e0,Abstain,audited,dropout|linear
transformers__MultiHeadSelfAttention__56723522,Abstain,audited,contiguous|dropout|linear|matmul|transpose|view
transformers__Transformer__1a302bc3,Refuted,audited,
transformers__TransformerBlock__d7eea714,Refuted,audited,layer_norm
transformers__CLIPAttention__400df1d0,Abstain,audited,contiguous|linear|reshape|transpose|view
